CCMS_ID	LibraryID	SpectrumIDs	NumSpectra	Compound_Name	mibig_id	mibig_name	GCF_ID
2551499	Beta-Methoxy-Albicidin	CCMSLIB00004681481,CCMSLIB00004681481,CCMSLIB00004681481	3	Beta-Methoxy-Albicidin	BGC0001088	Beta-Methoxy-Albicidin	GCF476
2551500	Beta-Methoxy-Albicidin	CCMSLIB00004681481,CCMSLIB00004681481,CCMSLIB00004681481	3	Beta-Methoxy-Albicidin	BGC0001088	Beta-Methoxy-Albicidin	GCF476
2551501	Beta-Methoxy-Albicidin	CCMSLIB00004681481,CCMSLIB00004681481,CCMSLIB00004681481	3	Beta-Methoxy-Albicidin	BGC0001088	Beta-Methoxy-Albicidin	GCF476
2574471	Carbamoyl-Beta-Methoxy-Albicidin	CCMSLIB00004681486,CCMSLIB00004681486	2	Carbamoyl-Beta-Methoxy-Albicidin	BGC0001088	Carbamoyl-Beta-Methoxy-Albicidin	GCF476
2575175	Carbamoyl-Beta-Methoxy-Albicidin	CCMSLIB00004681486,CCMSLIB00004681486	2	Carbamoyl-Beta-Methoxy-Albicidin	BGC0001088	Carbamoyl-Beta-Methoxy-Albicidin	GCF476
2586279	Carbamoyl-Beta-Methoxy-Asn-Albicidin	CCMSLIB00004681487,CCMSLIB00004681487	2	Carbamoyl-Beta-Methoxy-Asn-Albicidin	BGC0001088	albicidin	GCF476
2586564	Carbamoyl-Beta-Methoxy-Asn-Albicidin	CCMSLIB00004681487,CCMSLIB00004681487	2	Carbamoyl-Beta-Methoxy-Asn-Albicidin	BGC0001088	albicidin	GCF476
2678907	Putative orfamide C	CCMSLIB00004679300	1	Putative orfamide C	BGC0000399	Orfamide C	GCF450
2679585	Putative orfamide B	CCMSLIB00004679299	1	Putative orfamide B	BGC0000398	Orfamide B	GCF450
2680475	Putative orfamide A	CCMSLIB00004679298	1	Putative orfamide A	BGC0000399	Orfamide A	GCF450
